Music,Artist,Text
Seeunãoteamassetantoassim,IveteSangalo,"['coraçã', 'direç', 'vo', 'vo', 'sab', 'ond', 'cheg', 'sonh', 'encontr', 'estrel', 'hoj', 'descobr', 'olh', 'estrel', 'vão', 'gui', 'am', 'tant', 'assim', 'talv', 'perd', 'sonh', 'dentr', 'mim', 'viv', 'escur', 'am', 'tant', 'assim', 'talv', 'viss', 'fl', 'ond', 'vi', 'dentr', 'coraçã', 'hoj', 'sei', 'ame', 'vent', 'tempor', 'além', 'temp', 'vendav', 'desej', 'beij', 'jamal', 'prov', 'igual', 'estrel', 'dão', 'sinal', 'am', 'tant', 'assim', 'talv', 'perd', 'sonh', 'dentr', 'mim', 'viv', 'escur', 'am', 'tant', 'assim', 'talv', 'viss', 'fl', 'ond', 'vi', 'dentr', 'coraçã']"
QuemDeNósDois,AnaCarolina,"['assim', 'tão', 'complic', 'difícil', 'perceb', 'doi', 'vai', 'diz', 'imposs', 'am', 'acontec', 'diss', 'sint', 'nad', 'estr', 'segur', 'sei', 'vai', 'rir', 'car', 'conheç', 'sorris', 'lei', 'olh', 'sorris', 'disfarc', 'precis', 'sint', 'diz', 'amo', 'tá', 'ruim', 'pra', 'disfarç', 'doi', 'cab', 'nenhum', 'segred', 'além', 'combin', 'vão', 'cois', 'gent', 'diss', 'cab', 'serm', 'soment', 'amig', 'fal', 'quer', 'fras', 'fic', 'avess', 'mei', 'contr', 'mão', 'finj', 'esqueç', 'esquec', 'nad', 'cad', 'vez', 'fuj', 'aprox', 'perd', 'vist', 'assim', 'ruim', 'demal', 'atravess', 'futur', 'faç', 'lembranç', 'lug', 'segur', 'que', 'reviv', 'nenhum', 'pass', 'revir', 'sent', 'revir', 'tod', 'vez', 'procur', 'saíd', 'acab', 'entr', 'quer', 'vid', 'procur', 'qualqu', 'desculp', 'pra', 'encar', 'pra', 'diz', 'nov', 'sempr', 'mesm', 'cois', 'fal', 'fal', 'tô', 'aí', 'pra', 'convers', 'histór', 'doi', 'interess', 'tent', 'escond', 'mei', 'verdad', 'conhec', 'sorris', 'lê', 'olh', 'sorris', 'disfarc', 'precis', 'cad', 'vez', 'fuj', 'aprox', 'perd', 'vist', 'assim', 'ruim', 'demal', 'atravess', 'futur', 'faç', 'lembranç', 'lug', 'segur', 'que', 'reviv', 'nenhum', 'pass', 'revir', 'sent', 'revir', 'tod', 'vez', 'procur', 'saíd', 'acab', 'entr', 'quer', 'vid']"
Tribalistas,VelhaInfância,"['assim', 'sonh', 'pra', 'mim', 'vej', 'pens', 'desd', 'amanhec', 'deit', 'gost', 'gost', 'fic', 'ris', 'tão', 'feliz', 'contig', 'melhor', 'amig', 'am', 'gent', 'cant', 'gent', 'danç', 'gent', 'cans', 'ser', 'crianç', 'gent', 'brinc', 'velh', 'infânc', 'gost', 'gost', 'fic', 'ris', 'tão', 'feliz', 'contig', 'melhor', 'amig', 'am', 'gent', 'cant', 'gent', 'danç', 'gent', 'cans', 'ser', 'crianç', 'gent', 'brinc', 'velh', 'infânc', 'olh', 'cl', 'gui', 'dentr', 'escur', 'pé', 'abr', 'caminh', 'sig', 'nunc', 'sint', 'assim', 'sonh', 'pra', 'mim', 'assim', 'assim', 'sonh', 'pra', 'mim', 'assim', 'assim', 'sonh', 'pra', 'mim', 'assim', 'assim', 'sonh', 'pra', 'mim', 'assim', 'assim', 'sonh', 'pra', 'mim', 'assim']"
FuiEu,ZezéDiCamargoeLuciano,"['dia', 'noit', 'esper', 'alguém', 'mund', 'quil', 'dei', 'sonh', 'sonh', 'imagin', 'pra', 'vid', 'int', 'alguém', 'fez', 'tud', 'diz', 'agor', 'faç', 'pra', 'viv', 'cad', 'dia', 'difícil', 'esquec', 'tud', 'faz', 'do', 'demal', 'quer', 'volt', 'atrás', 'fic', 'contig', 'diz', 'agor', 'faç', 'pra', 'aceit', 'exist', 'outr', 'pesso', 'lug', 'temp', 'vai', 'convenc', 'dia', 'vai', 'reconhec', 'mim', 'pod', 'viv', 'yeh', 'yeh', 'yeah', 'yeah', 'sent', 'dói', 'dentr', 'solid', 'qu', 'par', 'machuc', 'sent', 'dói', 'dentr', 'coraçã', 'qu', 'ninguém', 'lug', 'dei', 'sonh', 'sonh', 'imagin', 'pra', 'vid', 'int', 'alguém', 'fez', 'tud', 'diz', 'agor', 'faç', 'pra', 'viv', 'cad', 'dia', 'difícil', 'esquec', 'tud', 'faz', 'do', 'demal', 'quer', 'volt', 'atrás', 'fic', 'contig', 'diz', 'agor', 'faç', 'pra', 'aceit', 'exist', 'outr', 'pesso', 'lug', 'temp', 'vai', 'convenc', 'dia', 'vai', 'reconhec', 'mim', 'pod', 'viv', 'sent', 'dói', 'dentr', 'solid', 'qu', 'par', 'machuc', 'sent', 'dói', 'dentr', 'coraçã', 'qu', 'ninguém', 'lug', 'sent', 'dói', 'dentr', 'dói', 'dentr', 'solid', 'qu', 'par', 'machuc', 'sent', 'dói', 'dentr', 'coraçã', 'qu', 'ninguém', 'lug', 'sent', 'sent', 'dói', 'dentr', 'dói', 'dentr', 'solid', 'qu', 'par', 'machuc', 'qu', 'par', 'machuc', 'sent', 'dói', 'dentr', 'coraçã', 'qu', 'ninguém', 'lug']"
NossoAmoréOuro/PãodeMel,ZezéDiCamargoeLuciano,"['am', 'our', 'joi', 'rar', 'ver', 'chuv', 'sonh', 'color', 'praz', 'desej', 'paix', 'quer', 'coraçã', 'boc', 'sorris', 'olh', 'su', 'pel', 'músic', 'ar', 'doi', 'ninh', 'entreg', 'sab', 'am', 'am', 'sang', 'coraçã', 'sonh', 'jamal', 'quer', 'acord', 'apaixonad', 'apaixon', 'peix', 'mar', 'sement', 'chã', 'arc', 'tesour', 'am', 'fort', 'diam', 'am', 'our', 'agor', 'assim', 'ó', 'coraçã', 'boc', 'sorris', 'olh', 'su', 'pel', 'músic', 'ar', 'doi', 'ninh', 'entreg', 'sab', 'am', 'am', 'sang', 'coraçã', 'sonh', 'jamal', 'quer', 'acord', 'apaixonad', 'apaixon', 'peix', 'mar', 'sement', 'chã', 'arc', 'tesour', 'am', 'fort', 'diam', 'am', 'our', 'am', 'sang', 'coraçã', 'sonh', 'jamal', 'quer', 'acord', 'apaixonad', 'apaixon', 'peix', 'mar', 'sement', 'chã', 'arc', 'tesour', 'am', 'fort', 'diam', 'am', 'our', 'am', 'fort', 'diam', 'am', 'our', 'continu', 'mão', 'pra', 'cim', 'balanç', 'gal', 'lá', 'cim', 'quer', 'ver', 'vem', 'vem', 'hey', 'hey', 'hey', 'luz', 'estr', 'caminh', 'sei', 'and', 'so', 'tão', 'depend', 'cham', 'aliment', 'fog', 'paix', 'chuv', 'molh', 'coraçã', 'tão', 'depend', 'vem', 'céu', 'pão', 'mel', 'bem', 'quer', 'cant', 'paul', 'vai', 'vem', 'céu', 'pão', 'mel', 'bem', 'quer', 'ai', 'ai', 'ai', 'ai', 'ai', 'am', 'bom', 'demal', 'ai', 'ai', 'ai', 'ai', 'ai', 'am', 'marc', 'demal', 'ai', 'ai', 'ai', 'ai', 'ai', 'am', 'fic', 'mim', 'ai', 'ai', 'ai', 'ai', 'ai', 'am', 'vai', 'ter', 'fim', 'balanç', 'cad', 'luz', 'estr', 'caminh', 'sei', 'and', 'so', 'tão', 'depend', 'cham', 'aliment', 'fog', 'paix', 'chuv', 'molh', 'coraçã', 'tão', 'depend', 'vem', 'céu', 'pão', 'mel', 'bem', 'quer', 'vem', 'céu', 'pão', 'mel', 'bem', 'quer', 'ai', 'ai', 'ai', 'ai', 'ai', 'am', 'bom', 'demal', 'ai', 'ai', 'ai', 'ai', 'ai', 'am', 'marc', 'demal', 'ai', 'ai', 'ai', 'ai', 'ai', 'am', 'fic', 'mim', 'ai', 'ai', 'ai', 'ai', 'ai', 'am', 'vai', 'ter', 'fim', 'ai', 'ai', 'ai', 'ai', 'ai', 'am', 'bom', 'demal', 'ai', 'ai', 'ai', 'ai', 'ai', 'am', 'marc', 'demal', 'ai', 'ai', 'ai', 'ai', 'am', 'am', 'fic', 'mim', 'ai', 'ai', 'ai', 'ai', 'am', 'am', 'vai', 'ter', 'fim', 'am', 'vai', 'ter', 'fim', 'am', 'vai', 'ter', 'fim']"
ToquedeMágica,PedroeThiago,"['noit', 'cheg', 'tô', 'pens', 'sol', 'acord', 'tô', 'pens', 'coraçã', 'chor', 'tô', 'pens', 'am', 'encontr', 'tô', 'pens', 'olh', 'pra', 'mim', 'tent', 'entend', 'vou', 'esquec', 'vou', 'par', 'mund', 'pra', 'tod', 'estrel', 'traz', 'toqu', 'magic', 'baby', 'vou', 'rod', 'mund', 'pra', 'encontr', 'sonh', 'lind', 'pra', 'dar', 'toqu', 'magic', 'baby']"
Amoriloveyou,MarisaMonte,"['deix', 'diz', 'amo', 'deix', 'pens', 'acalm', 'acolh', 'alm', 'ajud', 'viv', 'hoj', 'cont', 'pra', 'pared', 'cois', 'coraçã', 'passe', 'temp', 'caminh', 'hor', 'pass', 'paix', 'espelh', 'ra', 'qu', 'am', 'fiqu', 'aqu', 'deix', 'diz', 'amo', 'deix', 'gost', 'acalm', 'acolh', 'alm', 'ajud', 'viv', 'hoj', 'cont', 'pra', 'pared', 'cois', 'coraçã', 'passe', 'temp', 'caminh', 'hor', 'pass', 'paix', 'espelh', 'ra', 'qu', 'am', 'fiqu', 'aqu', 'peit', 'agor', 'disp', 'viv', 'const', 'alegr', 'am', 'aqu', 'am', 'i', 'lov', 'you', 'am', 'i', 'lov', 'you', 'am', 'i', 'lov', 'you', 'am', 'i', 'lov', 'you', 'bi', 'suspir', 'beij', 'papel', 'devot', 'prim', 'vez', 'escrev', 'sentimental', 'orgulh', 'dilatava-s', 'cal', 'amor', 'sai', 'corp', 'ressequ', 'est', 'banh', 'tép', 'sent', 'acrésc', 'est', 'si', 'mesm', 'parecia-lh', 'entr', 'enfim', 'exist', 'superi', 'interess', 'ond', 'cad', 'hor', 'intuit', 'difer', 'cad', 'pass', 'conduz', 'êxtas', 'alm', 'cobr', 'lux', 'radi', 'sens', 'am', 'i', 'lov', 'you', 'am', 'i', 'lov', 'you', 'am', 'i', 'lov', 'you', 'am', 'i', 'lov', 'you', 'bi']"
Tõnemai,Luka,"['mão', 'at', 'pé', 'descalç', 'mund', 'and', 'pern', 'pro', 'ar', 'sempr', 'arm', 'segu', 'pass', 'ate', 'braç', 'pra', 'abandon', 'lembr', 'nom', 'telefon', 'fiz', 'quest', 'apag', 'aceit', 'err', 'reinvent', 'vir', 'págin', 'agor', 'tô', 'outr', 'tô', 'aí', 'tô', 'aí', 'pod', 'fic', 'mund', 'tô', 'aí', 'tô', 'aí', 'tô', 'aí', 'vem', 'fal', 'problem', 'vou', 'ouv', 'boc', 'fech', 'emb', 'dei', 'tod', 'chanc', 'ser', 'bom', 'rapaz', 'venc', 'cans', 'am', 'enterr', 'descans', 'paz', 'lembr', 'nom', 'telefon', 'fiz', 'quest', 'apag', 'aceit', 'err', 'reinvent', 'vir', 'págin', 'agor', 'tô', 'outr', 'tô', 'aí', 'tô', 'aí', 'pod', 'fic', 'mund', 'tô', 'aí', 'tô', 'aí', 'tô', 'aí', 'vem', 'fal', 'problem', 'vou', 'ouv', 'tô', 'aí', 'tô', 'aí', 'pod', 'fic', 'mund', 'to', 'aí', 'tô', 'aí', 'tô', 'aí', 'vem', 'fal', 'problem', 'vou', 'ouv']"
VouDeixar,Skank,"['vou', 'deix', 'vid', 'lev', 'pra', 'ond', 'quis', 'lug', 'sab', 'ond', 'cont', 'temp', 'doi', 'poi', 'qualqu', 'hor', 'poss', 'est', 'volt', 'noit', 'termin', 'vou', 'deix', 'vid', 'lev', 'pra', 'ond', 'quis', 'segu', 'direç', 'estrel', 'qualqu', 'quer', 'hor', 'pra', 'volt', 'conheç', 'bem', 'solid', 'solt', 'deix', 'sort', 'busc', 'estr', 'so', 'enxerg', 'nad', 'vou', 'fic', 'aqu', 'dia', 'amanheç', 'vou', 'esquec', 'mim', 'pud', 'esqueç', 'vou', 'deix', 'coraçã', 'bat', 'madrug', 'fim', 'deix', 'sol', 'ver', 'ajoelh', 'mim', 'sim', 'hor', 'pra', 'volt', 'agradeç', 'tant', 'escolt', 'deix', 'noit', 'termin', 'estr', 'so', 'enxerg', 'nad', 'vou', 'fic', 'aqu', 'dia', 'amanheç', 'vou', 'esquec', 'mim', 'pud', 'esqueç', 'quer', 'hor', 'pra', 'volt', 'conheç', 'bem', 'solid', 'solt', 'deix', 'sort', 'busc', 'hor', 'pra', 'volt', 'agradeç', 'tant', 'escolt', 'deix', 'noit', 'termin']"
OSol,JotaQuest,"['ei', 'dor', 'escut', 'lev', 'nad', 'ei', 'med', 'escut', 'lev', 'nad', 'quis', 'sab', 'pra', 'ond', 'vou', 'pra', 'ond', 'sol', 'pra', 'lá', 'vou', 'quis', 'sab', 'pra', 'ond', 'vou', 'pra', 'ond', 'sol', 'pra', 'lá', 'vou', 'ei', 'dor', 'escut', 'lev', 'nad', 'ei', 'med', 'escut', 'lev', 'nad', 'quis', 'sab', 'pra', 'ond', 'vou', 'pra', 'ond', 'sol', 'pra', 'lá', 'vou', 'pra', 'lá', 'vou', 'quis', 'sab', 'pra', 'ond', 'vou', 'pra', 'ond', 'sol', 'pra', 'lá', 'vou', 'pra', 'lá', 'vou', 'yeah', 'caminh', 'sol', 'baby', 'naran', 'laral', 'caminh', 'sol', 'baby', 'quis', 'sab', 'pra', 'ond', 'vou', 'pra', 'ond', 'sol', 'pra', 'lá', 'vou', 'quis', 'sab', 'pra', 'ond', 'vou', 'pra', 'ond', 'sol', 'pra', 'lá', 'vou', 'pra', 'lá', 'vou', 'quis', 'sab', 'pra', 'ond', 'vou', 'pra', 'ond', 'sol', 'pra', 'lá', 'vou', 'pra', 'lá', 'vou', 'quis', 'sab', 'pra', 'ond', 'vou', 'pra', 'ond', 'sol', 'pra', 'lá', 'vou', 'pra', 'lá', 'vou', 'quis', 'sab', 'pra', 'ond', 'vou', 'pra', 'ond', 'sol', 'pra', 'lá', 'vou', 'pra', 'lá', 'vou', 'naran', 'laral', 'pra', 'lá', 'vou', 'lalaral', 'ond', 'sol', 'pra', 'lá', 'vou']"
